Model,Partition,WeightDecay,AUC_Train,AUC_Valid,AUC_Tests
9,0,0.5,1.0,0.7318364404161087,0.6568756940748188
10,0,0.001,1.0,0.7323205273457616,0.6577167977605615
10,0,0.005,0.9999999999999999,0.7399938201668554,0.6620734520078064
10,0,0.01,1.0,0.7138016273560615,0.653576990557297
10,0,0.05,1.0,0.7198372643938613,0.6578810758241831
10,0,0.1,0.9999999999999999,0.730847667112988,0.671207312345168
10,0,0.5,1.0,0.7448037902976621,0.672902661961743
11,0,0.001,1.0,0.7395715315686477,0.6622311589488832
11,0,0.005,1.0,0.7330724070450098,0.6647544700061112
11,0,0.01,1.0,0.7297867957565147,0.6683094473028828
11,0,0.05,1.0,0.7239983520444948,0.6663512527845132
11,0,0.1,1.0,0.7468019363477186,0.6687168569006644
11,0,0.5,1.0,0.7444021011432691,0.6712335968353473
12,0,0.001,1.0,0.723091976516634,0.6468350188262662
12,0,0.005,1.0,0.7205479452054795,0.6156287578607054
12,0,0.01,1.0,0.7226387887527037,0.6254985839230915
12,0,0.05,1.0,0.704397981254506,0.6309723290029636
12,0,0.1,1.0,0.7349263569883613,0.6247560470755219
12,0,0.5,1.0,0.744824389741477,0.6934637044046235
13,0,0.001,1.0,0.7251622206200432,0.6673697767789672
13,0,0.005,1.0,0.7263466886394067,0.6587287506324706
13,0,0.01,1.0,0.725584509218251,0.676286790072348
13,0,0.05,1.0,0.7385724585436193,0.6527096023813748
13,0,0.1,1.0,0.7247605314656504,0.682825057004488
13,0,0.5,1.0,0.7502008445771964,0.6711678856098988
14,0,0.001,1.0,0.742980739520033,0.6621654477234347
14,0,0.005,1.0,0.7414254815119992,0.6713453059186101
14,0,0.01,1.0,0.7433721289525181,0.6662723993139748
14,0,0.05,1.0,0.7317540426408486,0.6608183676017374
14,0,0.1,1.0,0.7330415078792872,0.6719958470505516
14,0,0.5,1.0,0.7609949531362654,0.6775813012136862
15,0,0.001,1.0,0.7188896899783704,0.6625400017084919
15,0,0.005,1.0,0.7186424966525904,0.6396396396396397
15,0,0.01,1.0,0.7393655371304975,0.6494437544765772
15,0,0.05,1.0,0.7032856112884952,0.664084215506535
15,0,0.1,1.0,0.7090225563909776,0.6588273174706436
15,0,0.5,1.0,0.7451436811206096,0.6586696105295666
16,0,0.001,1.0,0.752116592851993,0.6457704969739981
16,0,0.005,0.9999999999999999,0.7279740447007931,0.6970909640493885
16,0,0.01,1.0,0.7059429395406324,0.6685788633272222
16,0,0.05,1.0,0.7301781851889999,0.638989098507698
16,0,0.1,1.0,0.7234112678957667,0.6697550942627528
16,0,0.5,1.0,0.7556493974662684,0.6623428680321459
17,0,0.001,1.0,0.7146874034401071,0.6469598701546185
17,0,0.005,1.0,0.7362138222267999,0.6385291199295575
17,0,0.01,1.0,0.7380986713358739,0.6714635861244178
17,0,0.05,1.0,0.7318673395818313,0.6823913629165271
17,0,0.1,1.0,0.7253373158924709,0.667041220651724
17,0,0.5,1.0,0.7363889174992275,0.6793489331782548
18,0,0.001,1.0,0.7407354001441961,0.6723244031777948
18,0,0.005,1.0,0.7202595529920691,0.649259763045321
18,0,0.01,1.0,0.739252240189515,0.6579665004172663
18,0,0.05,1.0,0.740694201256566,0.6493649010060388
18,0,0.1,1.0,0.7505201359563292,0.6666140976863077
18,0,0.5,0.9999999999999999,0.7432279328458131,0.6769833290621037
19,0,0.001,0.9999999999999999,0.7425275517561025,0.6415781207903746
19,0,0.005,1.0,0.7229271809661139,0.6614754798562238
19,0,0.01,1.0,0.7287980224533936,0.6751237013819071
19,0,0.05,1.0,0.7235348645586569,0.6522299104355996
19,0,0.1,1.0,0.7338345864661655,0.6629474113062734
19,0,0.5,1.0,0.7620558244927387,0.6744337335146964
20,0,0.001,0.9999999999999999,0.7433000308991657,0.6594055762545916
20,0,0.005,1.0,0.7252652178391183,0.6685525788370428
20,0,0.01,1.0,0.7273869605520651,0.6598392703425526
20,0,0.05,1.0,0.7460706560922855,0.663019693654267
20,0,0.1,1.0,0.752054794520548,0.668638003430126
20,0,0.5,1.0,0.7411370892985889,0.6654707223635014
21,0,0.001,1.0,0.721979606550623,0.6468875878066249
21,0,0.005,1.0,0.7212792254609125,0.6394687904534732
21,0,0.01,0.9999999999999999,0.7427438459161603,0.6759188072098357
21,0,0.05,1.0,0.7116798846431147,0.6659569854318212
21,0,0.1,0.9999999999999999,0.7384694613245442,0.6708064738699313
21,0,0.5,1.0,0.7419198681635595,0.6638673684625545
22,0,0.001,1.0,0.7348439592131012,0.6554497604825832
22,0,0.005,1.0,0.7009887733031209,0.6668572292204678
22,0,0.01,1.0,0.7283036358018333,0.6649713170500917
22,0,0.05,1.0,0.7338242867442579,0.6683883007734212
22,0,0.1,0.9999999999999999,0.7476362138222268,0.6711350299971743
22,0,0.5,1.0,0.7377896796786487,0.6723966855257884
0,1,0.001,0.6295048905269398,0.5947059429395406,0.568369244518041
0,1,0.005,0.7068647791852988,0.6214337212895252,0.6449228221657106
0,1,0.01,0.7249101148210673,0.6346482644968585,0.6422680886575853
0,1,0.05,0.6569298573435225,0.6131939437635183,0.5801315538733482
0,1,0.1,0.6611828116341705,0.6176125244618396,0.5949428640894724
0,1,0.5,0.7193391667418396,0.637635183850036,0.6492269074325967
1,1,0.001,0.8127211690872305,0.6451230816767948,0.6392716567771273
1,1,0.005,0.8051250660446656,0.6007827788649707,0.6297369579645291
1,1,0.01,0.8159254629569967,0.6428571428571428,0.6383385573757565
1,1,0.05,0.8158230131831596,0.6526933772788135,0.6418869635499832
1,1,0.1,0.7684325828941094,0.6413739829024616,0.6252685946340213
1,1,0.5,0.7692547584376086,0.6542692347306625,0.6616069023071212
2,1,0.001,0.9228192373613062,0.621145329076115,0.6165290016493518
2,1,0.005,0.9097900746143636,0.6315274487588834,0.6097673165506864
2,1,0.01,0.9241246665549814,0.6155731795241528,0.635361838862933
2,1,0.05,0.899489039807214,0.6128231537748481,0.6217596151950637
2,1,0.1,0.913178649209397,0.6269749716757648,0.6667849468724741
2,1,0.5,0.7960585832291653,0.6465444433000309,0.6456916435034596
3,1,0.001,0.9952834443742831,0.6124523637861778,0.6291718414256707
3,1,0.005,0.9947125607288754,0.6318158409722938,0.6195714313876238
3,1,0.01,0.9975972628513254,0.640591204037491,0.6196699982257969
3,1,0.05,0.9954986533331615,0.6407559995880111,0.638358270743391
3,1,0.1,0.9841383265248265,0.6609434545267278,0.6361175179555923
3,1,0.5,0.9031469477699455,0.6686064476259141,0.6574079550009528
4,1,0.001,1.0,0.6457513647131528,0.639475361576018
4,1,0.005,1.0,0.6626017097538367,0.6779821396889232
4,1,0.01,1.0,0.6611391492429705,0.677016184674828
4,1,0.05,0.9999980669853994,0.6761458440622103,0.6783435514288907
4,1,0.1,1.0,0.6903491605726645,0.6565537090701203
4,1,0.5,0.9784739494065646,0.6723658461221548,0.6903424211958128
5,1,0.001,1.0,0.6967967864867648,0.6772724584540777
5,1,0.005,1.0,0.6955814193016788,0.7081238788022157
5,1,0.01,1.0,0.6954475229168813,0.6796840604280429
5,1,0.05,1.0,0.6968276856524875,0.7007510793068781
5,1,0.1,1.0,0.6974044700793078,0.6775681589685966
5,1,0.5,0.9996520573718732,0.7200741579977341,0.6890019121966606
6,1,0.001,1.0,0.6992687197445668,0.6995551350037127
6,1,0.005,1.0,0.7243485425893501,0.7076836135917098
6,1,0.01,1.0,0.7102173241322485,0.7023412909627351
6,1,0.05,1.0,0.712174271294675,0.6989308783619508
6,1,0.1,1.0,0.7025646307549696,0.6982014837594706
6,1,0.5,1.0,0.7084766711298796,0.7032875326091956
7,1,0.001,1.0,0.7224533937583686,0.7055020009068149
7,1,0.005,1.0,0.7145535070553095,0.7158778034051556
7,1,0.01,1.0,0.7129673498815533,0.7007773637970575
7,1,0.05,1.0,0.7184159027706252,0.714070744705318
7,1,0.1,1.0,0.71818930888866,0.7086429974832602
7,1,0.5,1.0,0.7253476156143784,0.7047988907945144
8,1,0.001,1.0,0.6387166546503245,0.6500811533634291
8,1,0.005,1.0,0.6296117004840869,0.6493451876384042
8,1,0.01,1.0,0.6531465650427439,0.6240463658406765
8,1,0.05,1.0,0.6597280873416417,0.6638082283596507
8,1,0.1,1.0,0.671541868369554,0.6580059271525355
8,1,0.5,0.9520567275351486,0.6547636213822227,0.6623560102772357
9,1,0.001,1.0,0.6936553713049747,0.677890143973295
9,1,0.005,1.0,0.6828612627459059,0.6706159113161301
9,1,0.01,1.0,0.6764548357194355,0.667277781063339
9,1,0.05,1.0,0.6898856730868268,0.6727778106333906
9,1,0.1,1.0,0.6930579874343392,0.692517462758163
9,1,0.5,1.0,0.7027191265835823,0.66602269665727
10,1,0.001,1.0,0.7240704500978472,0.707335344096832
10,1,0.005,1.0,0.6748480791018643,0.6984249019259959
10,1,0.01,1.0,0.6904418580698322,0.6957504550502362
10,1,0.05,1.0,0.7063240292512103,0.6929708702137587
10,1,0.1,1.0,0.7026882274178596,0.6981489147791117
10,1,0.5,0.9998795087565562,0.6995674116798847,0.7033729572022788
11,1,0.001,1.0,0.7160881656195283,0.7077690381847931
11,1,0.005,1.0,0.7253064167267484,0.6975180870148048
