	Unnamed: 0	top RBM	diffRBM	top RBM (lin)	diffRBM (lin)	top PWM	diffPWM	Normal RBM	PWM	RBMback	PWMback	top RBM_R	diffRBM_R	top RBM (lin)_R	diffRBM (lin)_R	top PWM_R	diffPWM_R	Normal RBM_R	PWM_R	RBMback_R	PWMback_R	top RBM (negatives)	diffRBM (negatives)	difference of top RBM	diffRBM (negatives,lin)	top RBM (negatives,lin)	difference of top RBM (lin)	difference of normal RBM	Normal RBM + V	diffRBM + V	Top RBM + V	Calis method	top PWM (negatives)	diffPWM (negatives)	Difference of PWM	difference of diffRBM	Deep classifier	Linear classifier	top RBM_HPP	diffRBM_HPP	backRBM_HPP
10	10	0.5801565909382621	0.5566679501989474	0.5935053266589655	0.5502502887947632	0.607624181748171	0.5028879476318829	0.5593633679887048	0.5798998844820947	0.5128994994224104	0.4700295212424593	0.47871408163265294	0.9048282551020409	0.2502612244897959	0.8964448979591837	0.3187836734693877	0.8930938775510204	0.8507183673469388	0.8887632653061225	0.9373245	0.901714285714286	0.634193299961494	0.462328327557438	0.6300859966628161	0.5258631754588627	0.5813117699910153	0.6300859966628161	0.6328455910666153	0.6198177384161212	0.5849056603773586	0.6439481452958542	0.6257219869079708	0.5936336798870492	0.5578231292517006	0.6304710563470671	0.6300859966628161	0.651777692208959	0.6307277628032345	0.6253987563362952	0.63921846878527	0.6212351280988978
11	11	0.6888717751251443	0.5748941085868309	0.6485688615068669	0.5153382107560005	0.6359902451546657	0.499165704017456	0.5745090489025799	0.5609036067257092	0.5665511487613913	0.4560390193813374	0.5243444897959184	0.8904536224489796	0.285934693877551	0.8731673469387755	0.3469265306122449	0.8759632653061222	0.8529183673469388	0.8735306122448979	0.9078228673469388	0.8824530612244897	0.6212296239250418	0.4208702348864074	0.6999101527403414	0.4435887562572199	0.627647285329226	0.6999101527403414	0.7081247593376974	0.7028622769862662	0.6486972147349506	0.7059427544602747	0.594082916185342	0.6546014632268002	0.5959440379925556	0.7085098190219483	0.6999101527403414	0.7228853805673213	0.7251957386728276	0.6951665331278003	0.6389388292778003	0.5450380429747115
12	12	0.6065973559235015	0.5130278526504941	0.612886664099602	0.4932614555256064	0.6081375946605057	0.4655371582595302	0.5027595944037992	0.5306122448979592	0.5679630342703119	0.4018739571300218	0.4786662448979592	0.8689634795918366	0.2699469387755101	0.851677551020408	0.3199551020408163	0.8704326530612244	0.826	0.859142857142857	0.9163776734693878	0.895134693877551	0.7137723013733795	0.396098061866256	0.6911821332306508	0.4434604030291362	0.7029906302143499	0.6911821332306508	0.6429213194711847	0.7452188422538826	0.7086381722500321	0.7666538313438582	0.6031318187652419	0.7186497240405597	0.6512642792966243	0.699653446284174	0.6911821332306508	0.6321396483121551	0.6879733025285586	0.6055292291694971	0.5753965720276961	0.5897484396595551
13	13	0.6934924913361571	0.6279039917853934	0.5804132973944295	0.5476832242330895	0.5710435117443204	0.5182903350019252	0.5823385958156847	0.5913233217815428	0.4752920035938903	0.4751636503658067	0.5594143775510204	0.9243202959183673	0.2232163265306122	0.9270204081632653	0.2885632653061224	0.9244816326530612	0.8877469387755101	0.9218448979591836	0.9718691428571429	0.9459795918367346	0.6051854704145809	0.4862020279810037	0.7236554999358233	0.522525991528687	0.6110897189064305	0.7236554999358233	0.6244384546271339	0.6022333461686562	0.5575664227955333	0.592863560518547	0.5697599794634836	0.6630727762803234	0.5816968296752664	0.6284174046977281	0.7236554999358233	0.682839173405211	0.6329097676806571	0.6775518845302464	0.6834384761879159	0.6585073539189616
14	14	0.6189192658195354	0.5191888075985112	0.6216146836092927	0.5130278526504941	0.6194326787318701	0.5019894750352972	0.5659093826209729	0.5707868052881531	0.472981645488384	0.4469259401873957	0.4901349285714285	0.8781380204081634	0.257734693877551	0.878865306122449	0.3210612244897959	0.8956938775510205	0.8678653061224489	0.8885877551020408	0.9075055204081635	0.8971918367346937	0.6167372609421127	0.4435887562572198	0.6692337312283404	0.457835964574509	0.6483121550506996	0.6692337312283404	0.6919522525991528	0.7133872416891285	0.5963290976768065	0.6489539211911179	0.5772044666923373	0.6652547811577462	0.6149403157489411	0.6845077653702991	0.6692337312283404	0.7195481966371454	0.7028622769862661	0.6193400603637282	0.5811441840503226	0.6208625954674877
15	15	0.6974714414067514	0.5915800282377102	0.6021049929405724	0.5262482351431138	0.6164805544859453	0.4892825054550122	0.5534591194968554	0.5657810293928893	0.4819663714542421	0.4385829803619561	0.5232143775510204	0.9121113163265305	0.245004081632653	0.9072489795918368	0.3265020408163265	0.9014816326530612	0.8728979591836734	0.8980000000000001	0.9134818265306126	0.9019020408163266	0.6589654729816455	0.4189449364651521	0.7458606083943011	0.4809395456295725	0.6339365935053266	0.7458606083943011	0.7183930175843922	0.6809138749839558	0.6614041843152356	0.7001668591965087	0.5566037735849056	0.6508792196123733	0.60723912206392	0.6995250930560903	0.7458606083943011	0.7176228982158902	0.6875882428443076	0.6829867323655486	0.6562114295507668	0.635502023725912
16	16	0.7118470029521241	0.6416377871903478	0.6339365935053266	0.5679630342703119	0.6429213194711846	0.5262482351431139	0.6194326787318701	0.5886279039917853	0.5125144397381594	0.4781157746117315	0.5707951734693878	0.9147461020408165	0.2609673469387755	0.8690734693877551	0.3198285714285714	0.8796367346938775	0.8633061224489795	0.8700285714285715	0.9138232857142858	0.8947020408163265	0.6289308176100629	0.4670773969965344	0.7380310614811962	0.5177769220895905	0.6202027981003722	0.7380310614811962	0.7160826594788858	0.625208573995636	0.5937620331151329	0.6759080990886921	0.5791297651135927	0.6675651392632526	0.5765627005519188	0.6802721088435374	0.7380310614811962	0.7035040431266846	0.6848928250545501	0.6938924331229517	0.6833415024874714	0.5744705211952345
17	17	0.6986266204595044	0.5878577846232833	0.6732126812989346	0.5330509562315492	0.6919522525991529	0.5036580670003851	0.5992812219227314	0.5705300988319857	0.4892825054550122	0.4370427416249518	0.5673090510204083	0.9172021836734695	0.2769632653061224	0.8906897959183673	0.3530530612244897	0.8757714285714286	0.8857469387755101	0.8709061224489796	0.8938716734693878	0.8722612244897959	0.5410088563727379	0.4804261327172378	0.6932357848799897	0.4804261327172378	0.5259915286869465	0.6932357848799897	0.7328969323578488	0.579771531254011	0.6254652804518034	0.6812989346682069	0.6406109613656783	0.5478115774611731	0.5733538698498267	0.6932357848799897	0.6932357848799897	0.7326402259016815	0.7042741624951867	0.707858326224329	0.6650482780207188	0.5819518981641727
18	18	0.686561417019638	0.6368887177512514	0.6540880503144654	0.5232961108971891	0.6707739699653446	0.5170068027210885	0.6397124887690925	0.5947888589398023	0.4308817866769349	0.4584777307149275	0.5573725612244899	0.9147314489795918	0.2619999999999999	0.8984816326530612	0.327934693877551	0.8986163265306123	0.9006408163265305	0.894061224489796	0.9290826020408162	0.9038489795918369	0.621101270696958	0.4657938647156975	0.7235271467077397	0.4874855602618406	0.6009498138878193	0.7235271467077397	0.7122320626363753	0.6495956873315365	0.6202027981003722	0.6931716082659479	0.5158516236683353	0.6234116288024645	0.5804132973944295	0.7045308689513541	0.7235271467077397	0.6710306764215119	0.6746245668078552	0.6668823771422426	0.6669500667054241	0.5899498281117156
19	19	0.6777050442818636	0.5458862790399179	0.6417661404184316	0.4452573482223078	0.6267488127326402	0.4485945321524835	0.5564112437427801	0.5168784494930048	0.4845334360159157	0.3936593505326659	0.5640837755102042	0.8811378163265307	0.2659551020408163	0.8542653061224489	0.3241183673469388	0.8577346938775511	0.8439918367346939	0.8565836734693878	0.9001284897959183	0.8897836734693877	0.6701322038249262	0.3629829290206648	0.7289179822872546	0.3946861763573353	0.6240533949428828	0.7289179822872546	0.7372609421126941	0.6715440893338467	0.6358618919265819	0.6395841355410088	0.6429213194711847	0.6195610319599537	0.6388140161725067	0.664484661789244	0.7289179822872546	0.7490694390963931	0.6988833269156719	0.6785816300126881	0.6094401016975679	0.5063366552426527
