top RBM	top RBM (lin)	top PWM	Ratio Mt/Mb
0.475	0.5425000000000001	0.56	0.0001
0.6375	0.5025	0.3775	0.0001
0.38	0.5025000000000001	0.4975	0.0001
0.5775	0.5425	0.485	0.0001
0.5249999999999999	0.5275000000000001	0.5349999999999999	0.0001
0.5786	0.49049999999999994	0.4376	0.0005
0.48109999999999997	0.4802	0.4961	0.0005
0.5628	0.5841999999999999	0.4852	0.0005
0.5737000000000001	0.505	0.5968	0.0005
0.47680000000000006	0.46580000000000005	0.5011	0.0005
0.5251000000000001	0.6095	0.45230000000000004	0.0005
0.5106	0.4342	0.4554	0.0005
0.5491999999999999	0.4536	0.4893	0.0005
0.5088	0.54085	0.4964	0.0005
0.4961	0.5294000000000001	0.476	0.0005
0.5355000000000001	0.4641	0.46599999999999997	0.0005
0.45089999999999997	0.49460000000000004	0.5514	0.0005
0.55	0.5032	0.49820000000000003	0.0005
0.581	0.5256000000000001	0.575	0.0005
0.606	0.5103	0.4822	0.0005
0.5345	0.4788	0.5457	0.0005
0.5023	0.4738	0.5156999999999999	0.0005
0.5477000000000001	0.5081	0.4771000000000001	0.0005
0.5378999999999999	0.5072	0.6085	0.0005
0.5627000000000001	0.4716	0.4698	0.0005
0.5409999999999999	0.48639999999999994	0.5489	0.0005
0.5386	0.48934999999999995	0.4591	0.0005
0.4928	0.5218	0.4663	0.0005
0.44919999999999993	0.5119	0.4855	0.0005
0.5112	0.4992	0.49649999999999994	0.0005
0.5238999999999999	0.5617	0.49269999999999997	0.0005
0.5229	0.48009999999999997	0.5171000000000001	0.0005
0.4805999999999999	0.5014	0.4275	0.0005
0.5198	0.5881000000000001	0.4835	0.0005
0.5607	0.5619000000000001	0.5635000000000001	0.0005
0.4811	0.5053	0.5264000000000001	0.0005
0.5191	0.5316500000000001	0.5063	0.0005
0.48360000000000003	0.5224	0.5413	0.0005
0.5164	0.548	0.5451	0.0005
0.481	0.44120000000000004	0.4855	0.0005
0.4611	0.48930000000000007	0.5506	0.0005
0.516	0.5158	0.4238	0.0005
0.5354000000000001	0.5505	0.4949	0.0005
